event_name,start_date,end_date,business_area,product,approved_presence_type,country,location,approx_cost,notes
BVS' Summer Biotech Community Celebration at Tech Square,2026-01-21,,MTO,,,,,$999,
American Society for Microbiology (ASM) — Eastern Pennsylvania Branch Meeting,2026-01-26,2026-01-26,ID,,$500.00,US,Virtual,,
MUHC Cancer Day,2026-02-04,2026-02-04,MTO,,,,Worldwide,$750.00,
CHU St Justine,2026-02-04,2026-02-04,MTO,,,,"Montreal, Quebec",$540.00,
The Clinical Laboratory Educators Conference (CLEC),2026-02-05,2026-02-07,ID,,"$1,500.00",US,"Bellevue, WA",,
American Correctional Association (ACA) Conference,2026-02-05,2026-02-08,ID,,$500.00,US,"Long Beach, CA",,
CSM,2026-02-12,2026-02-14,MTO,,,US,"Anaheim, CA","$3,000.00",
AWHONN California,2026-02-20,2026-02-21,ID,AmniSure,"$2,500.00",US,"Long Island, CA",,
"First Coast Infectious Disease/Clinical Microbiology Symposium,",2026-02-27,2026-02-28,ID,,$500.00,US,"Jacksonville, FL",,
DivcoWest and BVS' Biotech Community Event at Cambridge Crossing,2026-03-11,,MTO,,,,,"$1,500",
NC BioTech Group (Duke St. Patricks),2026-03-17,,MTO,,,,,"$1,200",
Southern Alberta Scientific Equipment Trade Show,2026-03-18,,MTO,,,CA,Calgary,555,
ASCLS CLMA Minnesota (CLC Collaborative),2026-03-19,2026-03-20,ID,,$800.00,US,"Saint Paul, MN",,
Boston Society Cell and Gene Therapy Conference,2026-03-19,2026-03-20,MTO,,,US,"Cambridge, MA","$3,700.00",
Biochemistry and Biomedical Sciences Research Symposium,2026-03-20,2026-03-20,MTO,,,CA,"Hamilton, ON",$720.00,
ISCT Stanford,2026-03-23,2026-03-27,MTO,BioPharma,,US,"Stanford, CA",,
CGON,2026-03-23,2026-03-24,MTO,,,US,"Toronto, ON","$10,000.00",
Ohio Collaborative Laboratory Conference,2026-03-23,,ID,,$870.00,US,"Westerville, OH",,
Stop TB Canada,2026-03-24,2026-03-24,ID,QFT,"$2,800.00",,,,
World TB Day Canada - sponsorship,2026-03-24,,ID,QFT,"$2,800.00",,,,
Indiana World TB Day Summit,2026-03-25,2026-03-25,ID,,$400.00,US,"Indianapolis, IN",,
ASCLS Idaho Meeting,2026-04-02,2026-04-03,ID,,"$1,500.00",US,"Idaho Falls, ID",,
Bode Conference,2026-04-07,2026-04-10,MTO,,,,"Baltimore, MD","$3,600.00",
Bode Conference,2026-04-07,2026-04-10,MTO,HID,,,"Baltimore, MD","$3,600.00",
